radboudsource,sourceguid,target,targetguid,targetlabel
ENSG00000112033,http://purl.uniprot.org/uniprot/P22303,R-HSA-204174,http://identifiers.org/reactome/R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex
ENSG00000112033,http://purl.uniprot.org/uniprot/P22303,R-HSA-5362517,http://identifiers.org/reactome/R-HSA-5362517,Signaling by Retinoic Acid
ENSG00000112115,http://purl.uniprot.org/uniprot/Q08881,R-HSA-448424,http://identifiers.org/reactome/R-HSA-448424,Interleukin-17 signaling
ENSG00000112115,http://purl.uniprot.org/uniprot/Q08881,R-HSA-6785807,http://identifiers.org/reactome/R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling
ENSG00000113161,http://purl.uniprot.org/uniprot/P47870,R-HSA-191273,http://identifiers.org/reactome/R-HSA-191273,Cholesterol biosynthesis
ENSG00000113161,http://purl.uniprot.org/uniprot/P47870,R-HSA-1989781,http://identifiers.org/reactome/R-HSA-1989781,PPARA activates gene expression
ENSG00000113161,http://purl.uniprot.org/uniprot/P47870,R-HSA-2426168,http://identifiers.org/reactome/R-HSA-2426168,Activation of gene expression by SREBF (SREBP)
ENSG00000113161,http://purl.uniprot.org/uniprot/P47870,R-HSA-9619665,http://identifiers.org/reactome/R-HSA-9619665,EGR2 and SOX10-mediated initiation of Schwann cell myelination
ENSG00000113851,http://purl.uniprot.org/uniprot/P08887,R-HSA-9679191,http://identifiers.org/reactome/R-HSA-9679191,Potential therapeutics for SARS
ENSG00000115252,http://purl.uniprot.org/uniprot/Q13936,R-HSA-418555,http://identifiers.org/reactome/R-HSA-418555,G alpha (s) signalling events
ENSG00000115252,http://purl.uniprot.org/uniprot/Q13936,R-HSA-111957,http://identifiers.org/reactome/R-HSA-111957,Cam-PDE 1 activation
ENSG00000115252,http://purl.uniprot.org/uniprot/Q13936,R-HSA-418457,http://identifiers.org/reactome/R-HSA-418457,cGMP effects
ENSG00000115353,http://purl.uniprot.org/uniprot/P30968,R-HSA-380095,http://identifiers.org/reactome/R-HSA-380095,Tachykinin receptors bind tachykinins
ENSG00000115353,http://purl.uniprot.org/uniprot/P30968,R-HSA-416476,http://identifiers.org/reactome/R-HSA-416476,G alpha (q) signalling events
ENSG00000115353,http://purl.uniprot.org/uniprot/P30968,R-HSA-8856825,http://identifiers.org/reactome/R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
ENSG00000115353,http://purl.uniprot.org/uniprot/P30968,R-HSA-8856828,http://identifiers.org/reactome/R-HSA-8856828,Clathrin-mediated endocytosis
ENSG00000115705,http://purl.uniprot.org/uniprot/P22888,R-HSA-209968,http://identifiers.org/reactome/R-HSA-209968,Thyroxine biosynthesis
ENSG00000117971,http://purl.uniprot.org/uniprot/P11473,R-HSA-629587,http://identifiers.org/reactome/R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors
ENSG00000117971,http://purl.uniprot.org/uniprot/P11473,R-HSA-629594,http://identifiers.org/reactome/R-HSA-629594,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors
ENSG00000117971,http://purl.uniprot.org/uniprot/P11473,R-HSA-629597,http://identifiers.org/reactome/R-HSA-629597,Highly calcium permeable nicotinic acetylcholine receptors
ENSG00000117971,http://purl.uniprot.org/uniprot/P11473,R-HSA-6798695,http://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
ENSG00000119888,http://purl.uniprot.org/uniprot/P22607,R-HSA-202733,http://identifiers.org/reactome/R-HSA-202733,Cell surface interactions at the vascular wall
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-1257604,http://identifiers.org/reactome/R-HSA-1257604,PIP3 activates AKT signaling
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-2219530,http://identifiers.org/reactome/R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-6811558,http://identifiers.org/reactome/R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-109704,http://identifiers.org/reactome/R-HSA-109704,PI3K Cascade
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-5673001,http://identifiers.org/reactome/R-HSA-5673001,RAF/MAP kinase cascade
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9607240,http://identifiers.org/reactome/R-HSA-9607240,FLT3 Signaling
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9645135,http://identifiers.org/reactome/R-HSA-9645135,STAT5 Activation
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702509,http://identifiers.org/reactome/R-HSA-9702509,FLT3 mutants bind TKIs
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702518,http://identifiers.org/reactome/R-HSA-9702518,STAT5 activation downstream of FLT3 ITD mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702569,http://identifiers.org/reactome/R-HSA-9702569,KW2449-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702577,http://identifiers.org/reactome/R-HSA-9702577,semaxanib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702581,http://identifiers.org/reactome/R-HSA-9702581,crenolanib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702590,http://identifiers.org/reactome/R-HSA-9702590,gilteritinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702596,http://identifiers.org/reactome/R-HSA-9702596,lestaurtinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702600,http://identifiers.org/reactome/R-HSA-9702600,midostaurin-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702605,http://identifiers.org/reactome/R-HSA-9702605,pexidartinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702614,http://identifiers.org/reactome/R-HSA-9702614,ponatinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702620,http://identifiers.org/reactome/R-HSA-9702620,quizartinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702624,http://identifiers.org/reactome/R-HSA-9702624,sorafenib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702632,http://identifiers.org/reactome/R-HSA-9702632,sunitinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702636,http://identifiers.org/reactome/R-HSA-9702636,tandutinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9702998,http://identifiers.org/reactome/R-HSA-9702998,linifanib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9703009,http://identifiers.org/reactome/R-HSA-9703009,tamatinib-resistant FLT3 mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9703648,http://identifiers.org/reactome/R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9706369,http://identifiers.org/reactome/R-HSA-9706369,Negative regulation of FLT3
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9706374,http://identifiers.org/reactome/R-HSA-9706374,FLT3 signaling through SRC family kinases
ENSG00000122025,http://purl.uniprot.org/uniprot/P09619,R-HSA-9706377,http://identifiers.org/reactome/R-HSA-9706377,FLT3 signaling by CBL mutants
ENSG00000125675,http://purl.uniprot.org/uniprot/Q13882,R-HSA-399710,http://identifiers.org/reactome/R-HSA-399710,Activation of AMPA receptors
ENSG00000125675,http://purl.uniprot.org/uniprot/Q13882,R-HSA-399719,http://identifiers.org/reactome/R-HSA-399719,Trafficking of AMPA receptors
ENSG00000125675,http://purl.uniprot.org/uniprot/Q13882,R-HSA-416993,http://identifiers.org/reactome/R-HSA-416993,Trafficking of GluR2-containing AMPA receptors
ENSG00000125675,http://purl.uniprot.org/uniprot/Q13882,R-HSA-438066,http://identifiers.org/reactome/R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation"
ENSG00000125675,http://purl.uniprot.org/uniprot/Q13882,R-HSA-8849932,http://identifiers.org/reactome/R-HSA-8849932,Synaptic adhesion-like molecules
ENSG00000130433,http://purl.uniprot.org/uniprot/P20908,R-HSA-5576892,http://identifiers.org/reactome/R-HSA-5576892,Phase 0 - rapid depolarisation
ENSG00000130433,http://purl.uniprot.org/uniprot/P20908,R-HSA-5576893,http://identifiers.org/reactome/R-HSA-5576893,Phase 2 - plateau phase
ENSG00000135914,http://purl.uniprot.org/uniprot/P22894,R-HSA-416476,http://identifiers.org/reactome/R-HSA-416476,G alpha (q) signalling events
ENSG00000135914,http://purl.uniprot.org/uniprot/P22894,R-HSA-390666,http://identifiers.org/reactome/R-HSA-390666,Serotonin receptors
ENSG00000137252,http://purl.uniprot.org/uniprot/P10828,R-HSA-416476,http://identifiers.org/reactome/R-HSA-416476,G alpha (q) signalling events
ENSG00000137252,http://purl.uniprot.org/uniprot/P10828,R-HSA-389397,http://identifiers.org/reactome/R-HSA-389397,Orexin and neuropeptides FF and QRFP bind to their respective receptors
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-399710,http://identifiers.org/reactome/R-HSA-399710,Activation of AMPA receptors
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-399719,http://identifiers.org/reactome/R-HSA-399719,Trafficking of AMPA receptors
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-416993,http://identifiers.org/reactome/R-HSA-416993,Trafficking of GluR2-containing AMPA receptors
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-438066,http://identifiers.org/reactome/R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation"
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-8849932,http://identifiers.org/reactome/R-HSA-8849932,Synaptic adhesion-like molecules
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-204005,http://identifiers.org/reactome/R-HSA-204005,COPII-mediated vesicle transport
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-5694530,http://identifiers.org/reactome/R-HSA-5694530,Cargo concentration in the ER
ENSG00000155511,http://purl.uniprot.org/uniprot/P47869,R-HSA-9620244,http://identifiers.org/reactome/R-HSA-9620244,Long-term potentiation
ENSG00000156973,http://purl.uniprot.org/uniprot/O00305,R-HSA-5624958,http://identifiers.org/reactome/R-HSA-5624958,ARL13B-mediated ciliary trafficking of INPP5E
ENSG00000156973,http://purl.uniprot.org/uniprot/O00305,R-HSA-9648002,http://identifiers.org/reactome/R-HSA-9648002,RAS processing
ENSG00000157103,http://purl.uniprot.org/uniprot/P05108,R-HSA-442660,http://identifiers.org/reactome/R-HSA-442660,Na+/Cl- dependent neurotransmitter transporters
ENSG00000157103,http://purl.uniprot.org/uniprot/P05108,R-HSA-888593,http://identifiers.org/reactome/R-HSA-888593,Reuptake of GABA
ENSG00000158125,http://purl.uniprot.org/uniprot/P54750,R-HSA-74259,http://identifiers.org/reactome/R-HSA-74259,Purine catabolism
ENSG00000158125,http://purl.uniprot.org/uniprot/P54750,R-HSA-8851680,http://identifiers.org/reactome/R-HSA-8851680,Butyrophilin (BTN) family interactions
ENSG00000158748,http://purl.uniprot.org/uniprot/P01589,R-HSA-418555,http://identifiers.org/reactome/R-HSA-418555,G alpha (s) signalling events
ENSG00000158748,http://purl.uniprot.org/uniprot/P01589,R-HSA-9660821,http://identifiers.org/reactome/R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production
ENSG00000158748,http://purl.uniprot.org/uniprot/P01589,R-HSA-390666,http://identifiers.org/reactome/R-HSA-390666,Serotonin receptors
ENSG00000159164,http://purl.uniprot.org/uniprot/P51787,R-HSA-5250955,http://identifiers.org/reactome/R-HSA-5250955,Toxicity of botulinum toxin type D (botD)
ENSG00000159164,http://purl.uniprot.org/uniprot/P51787,R-HSA-5250968,http://identifiers.org/reactome/R-HSA-5250968,Toxicity of botulinum toxin type A (botA)
ENSG00000159164,http://purl.uniprot.org/uniprot/P51787,R-HSA-5250981,http://identifiers.org/reactome/R-HSA-5250981,Toxicity of botulinum toxin type F (botF)
ENSG00000159164,http://purl.uniprot.org/uniprot/P51787,R-HSA-5250992,http://identifiers.org/reactome/R-HSA-5250992,Toxicity of botulinum toxin type E (botE)
ENSG00000167658,http://purl.uniprot.org/uniprot/P11388,R-HSA-6798695,http://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
ENSG00000167658,http://purl.uniprot.org/uniprot/P11388,R-HSA-156902,http://identifiers.org/reactome/R-HSA-156902,Peptide chain elongation
ENSG00000167658,http://purl.uniprot.org/uniprot/P11388,R-HSA-5336415,http://identifiers.org/reactome/R-HSA-5336415,Uptake and function of diphtheria toxin
ENSG00000167658,http://purl.uniprot.org/uniprot/P11388,R-HSA-5358493,http://identifiers.org/reactome/R-HSA-5358493,Synthesis of diphthamide-EEF2
ENSG00000167658,http://purl.uniprot.org/uniprot/P11388,R-HSA-8876725,http://identifiers.org/reactome/R-HSA-8876725,Protein methylation
